"surveyid","agency","city","state","white_hit_rate","black_hit_rate","white_search_rate","black_search_rate"
346,"Champaign County Sheriffs Office","Urbana","IL",0.345514950166113,0.325011145786893,0.0272242153818324,0.116822916666667
371,"Winnebago County Sheriffs Dept","Rockford","IL",0.38423645320197,0.224489795918367,0.0863095238095238,0.302469135802469
1518,"Ogle County Sheriffs Office","Oregon","IL",0.220982142857143,0.156862745098039,0.0372278544124979,0.0891608391608392
1459,"Clay County Illinois","Louisville","IL",0.352112676056338,0,0.0204788001153735,0.0181818181818182
1501,"Mclean County Sheriffs Office","Bloomington","IL",0.166666666666667,0,0.0201567749160134,0.0561224489795918
1552,"Whiteside County Sheriff","Morrison","IL",0.338666666666667,0.452380952380952,0.0209661187520966,0.060781476121563
1548,"Wayne County Sheriff Dept","Fairfield","IL",0.126050420168067,0,0.0387748452264581,0.0571428571428571
1474,"Ford County Sheriffs Office","Paxton","IL",0.524193548387097,0.181818181818182,0.027336860670194,0.0585106382978723
1522,"Perry County Sheriffs Office","Pinckneyville","IL",0.495081967213115,0.421052631578947,0.0556264818530002,0.0846325167037862
1488,"Kannakee County Sheriffs Office","Kankakee","IL",0.247041420118343,0.18955223880597,0.0378966251821953,0.0982116681325125
1523,"Piatt County Sheriffs Office","Monticello","IL",0.394557823129252,0.3,0.0425716768027802,0.118406889128095
1487,"Jo Daviess County Sheriffs Office","Galena","IL",0.48135593220339,0.43801652892562,0.0317238412732552,0.203703703703704
1507,"Morgan Count Sheriffs Office","Jacksonville","IL",0.321167883211679,0.172413793103448,0.069331983805668,0.140776699029126
359,"Mchenry County Sheriffs Office","Woodstock","IL",0.25,,0.0245775729646697,0
1525,"Putnam County Sheriffs Office","Hennepin","IL",0.785714285714286,0,0.0295151089248067,0.0230769230769231
1545,"Wabath Co Sheriffs Office","Mount Carmel","IL",0.294117647058824,,0.0147441457068517,0
1492,"Lee County Sheriffs Dept","Dixon","IL",0.24113475177305,0.0740740740740741,0.0247694334650856,0.0791788856304985
1458,"Clark Co Il Sheriffs Office","Marshall","IL",0.366935483870968,0.454545454545455,0.0757483200977398,0.0785714285714286
1481,"Hancock County Sheriffs Office","Carthage","IL",0.0515247108307045,0.133333333333333,0.3883217639853,0.365853658536585
572,"Cumberland County Sheriffs Office","Fayetteville","NC",0.21496904895892,0.220050441361917,0.0612969989651604,0.0611741109311116
2138,"Lenoir County Sheriffs Office","Kinston","NC",0.440909090909091,0.383720930232558,0.0807932427469703,0.0774774774774775
568,"Catawba County Sheriff Office","Newton","NC",0.23943661971831,0.228571428571429,0.0756636310792482,0.104555638536221
597,"Rowan Sheriff Office","Salisbury","NC",0.287841191066998,0.272138228941685,0.069755365797369,0.0841818181818182
2103,"Brunswick County Sheriffs Office","Bolivia","NC",0.320411392405063,0.318181818181818,0.0962827544180378,0.137142857142857
574,"Durham County Sheriffs Office","Durham","NC",0.293310463121784,0.28169014084507,0.0728234167464712,0.104635984673039
584,"Guilford County Sheriffs Office","Greensboro","NC",0.244421646576045,0.268974145120934,0.070852262402326,0.0699166132135985
593,"Pitt County Sheriffs Office","Greenville","NC",0.335632183908046,0.335907335907336,0.103917821309126,0.141568734626947
585,"Henderson County Sheriffs Office","Hendersonville","NC",0.231379731379731,0.288888888888889,0.0608786144354419,0.0938477580813347
588,"Iredell County Sheriffs Office","Statesville","NC",0.296870429950278,0.367396593673966,0.141339396444812,0.155485498108449
573,"Davidson County Sheriffs Office","Lexington","NC",0.277818717759764,0.299530516431925,0.114394099051633,0.176851544337429
591,"New Hanover County Sheriff'S","Wilmington","NC",0.369807497467072,0.32620320855615,0.045894169069097,0.0792205041304808
566,"Cabarrus County Sheriffs Office","Concord","NC",0.293729372937294,0.281938325991189,0.0446573323507738,0.0436874518860662
599,"Wake County Sheriff'S Office","Raleigh","NC",0.290876093053952,0.326968973747017,0.069600266412503,0.102129451128986
2152,"Orange County Sheriff'S Office","Hillsborough","NC",0.224416517055655,0.21078431372549,0.0433193342666044,0.0816489893936362
2172,"Warren County Sheriff Office","Warrenton","NC",0.106122448979592,0.257234726688103,0.187883435582822,0.179250720461095
2163,"Stanly County Sheriffs Office","Albemarle","NC",0.425196850393701,0.5,0.0405750798722045,0.0569306930693069
2123,"Halifax County Sheriffs Office","Halifax","NC",0.189716312056738,0.213763702801462,0.125920964501005,0.146137415450338
2153,"Pender County Sheriffs Office","Burgaw","NC",0.0819672131147541,0.0795454545454545,0.103706222373342,0.129095354523227
2096,"Beaufort County Sheriffs Office","Washington","NC",0.27112676056338,0.277661795407098,0.139306736429039,0.151295009475679
2106,"Carteret County Sheriff","Beaufort","NC",0.382022471910112,0.166666666666667,0.0747271200671704,0.0875912408759124
2143,"Moore County Sheriffs Office","Carthage","NC",0.224324324324324,0.273885350318471,0.0677903994137047,0.0852797392721347
595,"Randolph County Sheriffs Office","Asheboro","NC",0.204498977505112,0.314569536423841,0.093758987633017,0.0970125281079345
2104,"Camden County Sheriffs Office","Camden","NC",0.396825396825397,0.430232558139535,0.020497803806735,0.0300489168413697
562,"Alamance County Sheriff'S Office","Graham","NC",0.295112091142962,0.354636591478697,0.122716817751319,0.159488358149295
577,"Forsyth County Sheriffs Office","Winston Salem","NC",0.301377895045441,0.309452736318408,0.0380989612420418,0.0466573816155989
2159,"Scotland County Sheriffs Office","Laurinburg","NC",0.52112676056338,0.549295774647887,0.0569823434991974,0.0788013318534961
2115,"Currituck County Sheriffs Office","Currituck","NC",0.324783584482206,0.256410256410256,0.0782057068351637,0.145921676228486
2098,"Bertie County Sheriffs Office","Windsor","NC",0.333333333333333,0.454545454545455,0.145161290322581,0.143790849673203
2108,"Chatham County Sheriffs Office","Pittsboro","NC",0.386128364389234,0.325454545454545,0.0574316290130797,0.0929211015374219
2151,"Onslow County Sheriffs Office","Jacksonville","NC",0.176151761517615,0.164473684210526,0.0797492976010374,0.122039341629868
2173,"Washington County Sheriff Office","Plymouth","NC",0.4,0.474576271186441,0.0381194409148666,0.061139896373057
2116,"Duplin County Sheriff Office","Kenansville","NC",0.372937293729373,0.458917835671343,0.17358922944715,0.218763700131521
