,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
27625,61330.0,La Moille,Illinois,IL,Bureau,41.5376,-89.297,-1.0
27626,61331.0,Lee Center,Illinois,IL,Lee,41.7488,-89.2827,-1.0
27627,61332.0,Leonore,Illinois,IL,La Salle,41.1488,-89.0091,-1.0
27628,61333.0,Long Point,Illinois,IL,Livingston,40.9896,-88.8811,-1.0
27629,61334.0,Lostant,Illinois,IL,La Salle,41.145,-89.075,-1.0
27630,61335.0,Mc Nabb,Illinois,IL,Putnam,41.173,-89.2187,-1.0
27631,61336.0,Magnolia,Illinois,IL,Putnam,41.1164,-89.227,-1.0
27632,61337.0,Malden,Illinois,IL,Bureau,41.4223,-89.3355,-1.0
27633,61338.0,Manlius,Illinois,IL,Bureau,41.4555,-89.6697,-1.0
27634,61340.0,Mark,Illinois,IL,Putnam,41.266,-89.2491,-1.0
27635,61341.0,Marseilles,Illinois,IL,La Salle,41.3302,-88.6947,-1.0
27636,61342.0,Mendota,Illinois,IL,La Salle,41.5443,-89.1083,-1.0
27637,61344.0,Mineral,Illinois,IL,Bureau,41.4036,-89.8201,-1.0
27638,61345.0,Neponset,Illinois,IL,Bureau,41.2905,-89.7944,-1.0
27639,61346.0,New Bedford,Illinois,IL,Bureau,41.5122,-89.7199,-1.0
27640,61348.0,Oglesby,Illinois,IL,La Salle,41.2928,-89.0553,-1.0
27641,61349.0,Ohio,Illinois,IL,Bureau,41.5371,-89.4574,-1.0
27642,61350.0,Ottawa,Illinois,IL,La Salle,41.3526,-88.8416,-1.0
27643,61353.0,Paw Paw,Illinois,IL,Lee,41.6852,-88.9674,-1.0
27644,61354.0,Peru,Illinois,IL,La Salle,41.333,-89.1265,-1.0
27645,61356.0,Princeton,Illinois,IL,Bureau,41.3629,-89.427,-1.0
27646,61358.0,Rutland,Illinois,IL,La Salle,40.9844,-89.0388,-1.0
27647,61359.0,Seatonville,Illinois,IL,Bureau,41.3613,-89.2691,-1.0
27648,61360.0,Seneca,Illinois,IL,La Salle,41.3152,-88.61,-1.0
27649,61361.0,Sheffield,Illinois,IL,Bureau,41.3949,-89.7115,-1.0
27650,61362.0,Spring Valley,Illinois,IL,Bureau,41.3279,-89.2042,-1.0
27651,61363.0,Standard,Illinois,IL,Putnam,41.2567,-89.1778,-1.0
27652,61364.0,Streator,Illinois,IL,La Salle,41.1225,-88.8307,-1.0
27653,61367.0,Sublette,Illinois,IL,Lee,41.6331,-89.2354,-1.0
27654,61368.0,Tiskilwa,Illinois,IL,Bureau,41.2891,-89.508,-1.0
27655,61369.0,Toluca,Illinois,IL,Marshall,41.0046,-89.1348,-1.0
27656,61370.0,Tonica,Illinois,IL,La Salle,41.2327,-89.089,-1.0
