,Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,Unnamed: 7
247,1570.0,Webster,Massachusetts,MA,Worcester,42.0521,-71.8486,-1.0
248,1571.0,Dudley,Massachusetts,MA,Worcester,42.0489,-71.8932,-1.0
249,1580.0,Westborough,Massachusetts,MA,Worcester,42.3648,-71.8969,-1.0
250,1581.0,Westborough,Massachusetts,MA,Worcester,42.2679,-71.6176,-1.0
251,1582.0,Westborough,Massachusetts,MA,Worcester,42.3648,-71.8969,-1.0
252,1583.0,West Boylston,Massachusetts,MA,Worcester,42.3584,-71.7838,-1.0
253,1585.0,West Brookfield,Massachusetts,MA,Worcester,42.2441,-72.1511,-1.0
254,1586.0,West Millbury,Massachusetts,MA,Worcester,42.3648,-71.8969,-1.0
255,1587.0,Upton,Massachusetts,MA,-1,42.1702,-71.6259,-1.0
256,1588.0,Whitinsville,Massachusetts,MA,Worcester,42.1153,-71.6644,-1.0
257,1590.0,Sutton,Massachusetts,MA,Worcester,42.1266,-71.7552,-1.0
268,1611.0,Cherry Valley,Massachusetts,MA,Worcester,42.2373,-71.875,-1.0
269,1612.0,Paxton,Massachusetts,MA,Worcester,42.3066,-71.9202,-1.0
281,1718.0,Village Of Nagog Woods,Massachusetts,MA,Middlesex,42.5198,-71.4293,-1.0
282,1719.0,Boxborough,Massachusetts,MA,Middlesex,42.4884,-71.5178,-1.0
283,1720.0,Acton,Massachusetts,MA,Middlesex,42.4751,-71.4483,-1.0
284,1721.0,Ashland,Massachusetts,MA,Middlesex,42.2539,-71.4583,-1.0
285,1730.0,Bedford,Massachusetts,MA,Middlesex,42.4843,-71.2768,-1.0
286,1731.0,Hanscom Afb,Massachusetts,MA,Middlesex,42.4567,-71.2795,-1.0
287,1740.0,Bolton,Massachusetts,MA,Worcester,42.4365,-71.6076,-1.0
288,1741.0,Carlisle,Massachusetts,MA,Middlesex,42.5286,-71.3519,-1.0
289,1742.0,Concord,Massachusetts,MA,Middlesex,42.4567,-71.3747,-1.0
290,1745.0,Fayville,Massachusetts,MA,Worcester,42.2934,-71.5028,-1.0
291,1746.0,Holliston,Massachusetts,MA,Middlesex,42.2026,-71.4361,-1.0
292,1747.0,Hopedale,Massachusetts,MA,Worcester,42.1268,-71.5376,-1.0
293,1748.0,Hopkinton,Massachusetts,MA,Middlesex,42.219,-71.5302,-1.0
295,1752.0,Marlborough,Massachusetts,MA,Middlesex,42.3509,-71.5434,-1.0
296,1754.0,Maynard,Massachusetts,MA,Middlesex,42.4321,-71.455,-1.0
297,1756.0,Mendon,Massachusetts,MA,Worcester,42.0967,-71.5499,-1.0
298,1757.0,Milford,Massachusetts,MA,Worcester,42.1511,-71.5274,-1.0
300,1770.0,Sherborn,Massachusetts,MA,Middlesex,42.2331,-71.3787,-1.0
301,1772.0,Southborough,Massachusetts,MA,Worcester,42.2939,-71.532,-1.0
302,1773.0,Lincoln,Massachusetts,MA,Middlesex,42.4217,-71.3137,-1.0
303,1775.0,Stow,Massachusetts,MA,Middlesex,42.4308,-71.515,-1.0
304,1776.0,Sudbury,Massachusetts,MA,Middlesex,42.3837,-71.4282,-1.0
305,1778.0,Wayland,Massachusetts,MA,Middlesex,42.3486,-71.3588,-1.0
306,1784.0,Woodville,Massachusetts,MA,Middlesex,42.4464,-71.4594,-1.0
307,1801.0,Woburn,Massachusetts,MA,Middlesex,42.4829,-71.1574,-1.0
310,1806.0,Woburn,Massachusetts,MA,Middlesex,42.4464,-71.4594,-1.0
311,1807.0,Woburn,Massachusetts,MA,Middlesex,42.4464,-71.4594,-1.0
312,1808.0,Woburn,Massachusetts,MA,Middlesex,42.4464,-71.4594,-1.0
313,1810.0,Andover,Massachusetts,MA,Essex,42.6496,-71.1565,-1.0
314,1812.0,Andover,Massachusetts,MA,Essex,42.6472,-71.1842,-1.0
315,1813.0,Woburn,Massachusetts,MA,Middlesex,42.4464,-71.4594,-1.0
316,1814.0,Reading,Massachusetts,MA,-1,42.506,-71.1263,-1.0
317,1815.0,Woburn,Massachusetts,MA,Middlesex,42.4464,-71.4594,-1.0
321,1826.0,Dracut,Massachusetts,MA,Middlesex,42.6764,-71.3186,-1.0
322,1827.0,Dunstable,Massachusetts,MA,Middlesex,42.6739,-71.4952,-1.0
323,1830.0,Haverhill,Massachusetts,MA,Essex,42.7856,-71.0721,-1.0
324,1831.0,Haverhill,Massachusetts,MA,Essex,42.7711,-71.1221,-1.0
325,1832.0,Haverhill,Massachusetts,MA,Essex,42.7792,-71.1095,-1.0
326,1833.0,Georgetown,Massachusetts,MA,Essex,42.7281,-70.9822,-1.0
327,1834.0,Groveland,Massachusetts,MA,Essex,42.753,-71.027,-1.0
328,1835.0,Haverhill,Massachusetts,MA,Essex,42.7528,-71.0843,-1.0
333,1844.0,Methuen,Massachusetts,MA,Essex,42.728,-71.181,-1.0
334,1845.0,North Andover,Massachusetts,MA,Essex,42.6826,-71.109,-1.0
340,1860.0,Merrimac,Massachusetts,MA,Essex,42.8346,-71.0047,-1.0
341,1862.0,North Billerica,Massachusetts,MA,Middlesex,42.5757,-71.2902,-1.0
342,1863.0,North Chelmsford,Massachusetts,MA,Middlesex,42.6347,-71.3908,-1.0
343,1864.0,North Reading,Massachusetts,MA,Middlesex,42.5819,-71.0947,-1.0
344,1865.0,Nutting Lake,Massachusetts,MA,Middlesex,42.4464,-71.4594,-1.0
345,1866.0,Pinehurst,Massachusetts,MA,Middlesex,42.4464,-71.4594,-1.0
346,1867.0,Reading,Massachusetts,MA,Middlesex,42.528,-71.109,-1.0
347,1876.0,Tewksbury,Massachusetts,MA,Middlesex,42.6028,-71.2232,-1.0
348,1879.0,Tyngsboro,Massachusetts,MA,Middlesex,42.6724,-71.4158,-1.0
349,1880.0,Wakefield,Massachusetts,MA,Middlesex,42.5009,-71.0685,-1.0
350,1885.0,West Boxford,Massachusetts,MA,Essex,42.6354,-70.8791,-1.0
351,1886.0,Westford,Massachusetts,MA,Middlesex,42.5864,-71.4401,-1.0
352,1887.0,Wilmington,Massachusetts,MA,Middlesex,42.5581,-71.1723,-1.0
353,1888.0,Woburn,Massachusetts,MA,Middlesex,42.4464,-71.4594,-1.0
354,1889.0,North Reading,Massachusetts,MA,Middlesex,42.5716,-71.1096,-1.0
355,1890.0,Winchester,Massachusetts,MA,Middlesex,42.453,-71.1441,-1.0
356,1899.0,Andover,Massachusetts,MA,Essex,42.6354,-70.8791,-1.0
362,1906.0,Saugus,Massachusetts,MA,Essex,42.4633,-71.0111,-1.0
363,1907.0,Swampscott,Massachusetts,MA,Essex,42.4746,-70.9098,-1.0
364,1908.0,Nahant,Massachusetts,MA,Essex,42.4261,-70.9277,-1.0
366,1913.0,Amesbury,Massachusetts,MA,Essex,42.8559,-70.9367,-1.0
367,1915.0,Beverly,Massachusetts,MA,Essex,42.5608,-70.8759,-1.0
369,1922.0,Byfield,Massachusetts,MA,Essex,42.7568,-70.9351,-1.0
370,1923.0,Danvers,Massachusetts,MA,Essex,42.5694,-70.9425,-1.0
371,1929.0,Essex,Massachusetts,MA,Essex,42.6286,-70.7828,-1.0
372,1930.0,Gloucester,Massachusetts,MA,Essex,42.6208,-70.6721,-1.0
373,1931.0,Gloucester,Massachusetts,MA,Essex,42.6354,-70.8791,-1.0
374,1936.0,Hamilton,Massachusetts,MA,Essex,42.6354,-70.8791,-1.0
375,1937.0,Hathorne,Massachusetts,MA,Essex,42.6354,-70.8791,-1.0
377,1940.0,Lynnfield,Massachusetts,MA,Essex,42.5327,-71.0339,-1.0
378,1944.0,Manchester,Massachusetts,MA,Essex,42.5796,-70.7674,-1.0
379,1945.0,Marblehead,Massachusetts,MA,Essex,42.4984,-70.8653,-1.0
380,1947.0,Salem,Massachusetts,MA,Essex,42.6428,-70.8736,-1.0
381,1949.0,Middleton,Massachusetts,MA,Essex,42.5942,-71.013,-1.0
382,1950.0,Newburyport,Massachusetts,MA,Essex,42.813,-70.8847,-1.0
383,1951.0,Newbury,Massachusetts,MA,Essex,42.7835,-70.8474,-1.0
384,1952.0,Salisbury,Massachusetts,MA,Essex,42.8507,-70.8588,-1.0
388,1965.0,Prides Crossing,Massachusetts,MA,Essex,42.5581,-70.8257,-1.0
389,1966.0,Rockport,Massachusetts,MA,Essex,42.658,-70.6194,-1.0
390,1969.0,Rowley,Massachusetts,MA,Essex,42.7138,-70.907,-1.0
391,1970.0,Salem,Massachusetts,MA,Essex,42.5151,-70.9003,-1.0
392,1971.0,Salem,Massachusetts,MA,Essex,42.6354,-70.8791,-1.0
393,1982.0,South Hamilton,Massachusetts,MA,Essex,42.6185,-70.8561,-1.0
394,1983.0,Topsfield,Massachusetts,MA,Essex,42.6415,-70.9488,-1.0
395,1984.0,Wenham,Massachusetts,MA,Essex,42.6017,-70.8786,-1.0
396,1985.0,West Newbury,Massachusetts,MA,Essex,42.7949,-70.9778,-1.0
397,2018.0,Accord,Massachusetts,MA,Plymouth,41.9705,-70.7014,-1.0
399,2020.0,Brant Rock,Massachusetts,MA,Plymouth,42.0818,-70.6439,-1.0
400,2021.0,Canton,Massachusetts,MA,Norfolk,42.1645,-71.1355,-1.0
401,2025.0,Cohasset,Massachusetts,MA,Norfolk,42.2395,-70.8128,-1.0
402,2026.0,Dedham,Massachusetts,MA,Norfolk,42.2437,-71.1637,-1.0
403,2027.0,Dedham,Massachusetts,MA,Norfolk,42.18,-71.0892,-1.0
404,2030.0,Dover,Massachusetts,MA,Norfolk,42.2362,-71.2854,-1.0
405,2031.0,East Mansfield,Massachusetts,MA,Bristol,41.9988,-71.2009,-1.0
406,2032.0,East Walpole,Massachusetts,MA,Norfolk,42.1532,-71.2179,-1.0
407,2035.0,Foxboro,Massachusetts,MA,Norfolk,42.0649,-71.2441,-1.0
408,2038.0,Franklin,Massachusetts,MA,Norfolk,42.0935,-71.4058,-1.0
409,2040.0,Greenbush,Massachusetts,MA,Plymouth,41.9705,-70.7014,-1.0
410,2041.0,Green Harbor,Massachusetts,MA,Plymouth,42.0696,-70.6491,-1.0
411,2043.0,Hingham,Massachusetts,MA,Plymouth,42.2245,-70.8911,-1.0
412,2044.0,Hingham,Massachusetts,MA,Plymouth,41.9705,-70.7014,-1.0
413,2045.0,Hull,Massachusetts,MA,Plymouth,42.2853,-70.8754,-1.0
414,2047.0,Humarock,Massachusetts,MA,Plymouth,42.1428,-70.6935,-1.0
415,2048.0,Mansfield,Massachusetts,MA,Bristol,42.0212,-71.2178,-1.0
